Date,Price,Open,High,Low,Volume,Chg%
17-03-2023,529.8,528.65,531.6,520.1,18.79M,1.01%
16-03-2023,524.5,518.4,529.35,514.3,20.04M,1.34%
15-03-2023,517.55,529.8,532,515.55,11.28M,-1.49%
14-03-2023,525.4,527.65,532.8,520,14.75M,-0.87%
13-03-2023,530,547,553.15,528.45,14.37M,-3.17%
10-03-2023,547.35,553.1,554.95,545,11.52M,-2.07%
09-03-2023,558.9,564.75,565.75,558,8.99M,-1.04%
08-03-2023,564.8,560,565.5,556.45,12.64M,0.55%
06-03-2023,561.7,564.9,567.9,559,16.16M,0.09%
03-03-2023,561.2,542,564.3,541.75,27.66M,5.14%
02-03-2023,533.75,535.95,539.9,532.5,10.38M,-0.55%
01-03-2023,536.7,523.25,537.4,523.1,13.51M,2.66%
28-02-2023,522.8,527.25,528.45,521.05,15.77M,-0.93%
27-02-2023,527.7,521.1,529.8,519,11.05M,1.28%
24-02-2023,521.05,524.2,527.5,517.6,12.25M,0.01%
23-02-2023,521,516.95,524,511.35,15.54M,0.90%
22-02-2023,516.35,520.75,521.9,512.5,14.76M,-1.36%
21-02-2023,523.45,527.1,528.95,522.4,10.22M,-0.32%
20-02-2023,525.15,532,533.95,522.15,12.57M,-1.10%
17-02-2023,531,538.5,539.65,527.75,14.19M,-1.68%
16-02-2023,540.1,546.85,546.85,538.5,12.77M,-0.40%
15-02-2023,542.25,540,544.65,536.8,12.80M,0.26%
14-02-2023,540.85,539.95,544.6,530.75,18.56M,0.62%
13-02-2023,537.5,554,556.9,533.3,18.49M,-2.81%
10-02-2023,553.05,546.5,557.25,546.5,13.82M,0.41%
09-02-2023,550.8,552,552,542.8,15.06M,0.19%
08-02-2023,549.75,550,554.5,545.5,15.50M,0.48%
07-02-2023,547.1,548,551.4,541.05,16.20M,0.31%
06-02-2023,545.4,558.8,558.8,536.55,25.34M,0.22%
03-02-2023,544.2,536,545.95,519.15,32.32M,3.05%
02-02-2023,528.1,520.2,532.65,502.5,39.29M,0.14%
01-02-2023,527.35,561.4,565,499.35,38.22M,-4.72%
31-01-2023,553.5,545,557,537.85,21.91M,2.84%
30-01-2023,538.2,536,554.35,525.2,40.80M,-0.32%
27-01-2023,539.95,568,568.55,532.25,40.16M,-5.06%
25-01-2023,568.7,595.85,595.85,567.4,25.69M,-4.32%
24-01-2023,594.35,603.5,604.6,593.05,7.61M,-1.02%
23-01-2023,600.45,598.5,601.75,592.95,6.60M,1.39%
20-01-2023,592.2,593.8,596.6,590.8,6.75M,0.40%
19-01-2023,589.85,591,591.75,587.55,7.48M,-0.27%
18-01-2023,591.45,595.9,597.15,587.6,11.54M,-0.25%
17-01-2023,592.95,603,606,586.05,13.46M,-1.67%
16-01-2023,603,603,606.1,600.6,5.48M,0.48%
13-01-2023,600.1,597.9,602.9,593.65,7.88M,0.87%
12-01-2023,594.9,597.9,597.9,590.1,8.18M,-0.30%
11-01-2023,596.7,596.45,599.5,592.25,7.42M,0.26%
10-01-2023,595.15,608.45,609,590.6,10.62M,-2.07%
09-01-2023,607.7,605,609,600.1,8.88M,1.17%
06-01-2023,600.65,607.4,607.45,597,7.97M,-0.74%
05-01-2023,605.1,607,611.6,601.95,8.24M,-0.02%
04-01-2023,605.2,611.85,614.95,604,7.01M,-1.18%
03-01-2023,612.4,614.5,616.6,610,6.82M,0.03%
02-01-2023,612.2,614.95,619.2,611.2,6.73M,-0.24%
30-12-2022,613.7,615.25,620.55,611.35,13.05M,0.31%
29-12-2022,611.8,600,618,597.15,20.13M,1.79%
28-12-2022,601.05,600.9,607,598.55,7.99M,-0.14%
27-12-2022,601.9,600.4,603.1,593.3,9.64M,0.80%
26-12-2022,597.1,574,601.7,570.7,13.20M,4.02%
23-12-2022,574,590,590.7,571.5,13.05M,-3.27%
22-12-2022,593.4,597,599,587.55,8.74M,0.00%
21-12-2022,593.4,605.9,609.15,589.6,9.22M,-1.83%
20-12-2022,604.45,603,606.5,599.55,6.75M,0.00%
19-12-2022,604.45,604,609.5,603,8.32M,0.18%
16-12-2022,603.35,612,615.6,602.1,9.44M,-2.05%
15-12-2022,615.95,625.55,629.55,614.3,10.62M,-1.53%
14-12-2022,625.5,618.5,626.75,617.5,14.01M,1.42%
13-12-2022,616.75,613.5,617.4,612.5,7.46M,0.60%
12-12-2022,613.05,614.8,618.7,611,9.29M,-0.56%
09-12-2022,616.5,614.4,618,609.1,11.20M,0.79%
08-12-2022,611.65,609.75,613.8,607.15,10.02M,0.76%
07-12-2022,607.05,610.85,612.9,604.5,7.61M,-0.31%
06-12-2022,608.95,614.75,619.8,607.8,13.00M,-1.35%
05-12-2022,617.3,608.5,618,607.55,11.59M,1.60%
02-12-2022,607.55,607.5,609.6,604.25,7.53M,-0.09%
01-12-2022,608.1,607.85,609.8,601.55,14.21M,0.94%
30-11-2022,602.45,608.5,611.4,598.4,15.61M,-1.00%
29-11-2022,608.55,607.1,611.8,607.1,6.94M,-0.01%
28-11-2022,608.6,605.6,610.9,602.35,7.93M,0.20%
25-11-2022,607.4,610.55,613.7,606.25,9.99M,-0.32%
24-11-2022,609.35,609.75,611.3,605.8,8.96M,0.28%
23-11-2022,607.65,601.55,609.6,601,12.44M,1.43%
22-11-2022,599.1,598.15,600.7,596.15,8.05M,0.17%
21-11-2022,598.1,602.1,602.1,595.35,7.41M,-0.76%
18-11-2022,602.7,601,605.75,597.15,12.93M,0.61%
17-11-2022,599.05,599.1,602.75,596.15,8.17M,-0.12%
16-11-2022,599.75,599.95,603.5,596,11.56M,-0.18%
15-11-2022,600.85,594.3,602.1,592.65,10.29M,1.40%
14-11-2022,592.55,603.95,603.95,591.65,12.96M,-1.46%
11-11-2022,601.3,617.25,619.55,598.5,15.53M,-0.73%
10-11-2022,605.75,613.1,615.1,602.2,11.62M,-1.59%
09-11-2022,615.55,621,621,610.55,18.94M,0.23%
07-11-2022,614.15,613,622.7,607.7,44.27M,3.40%
04-11-2022,593.95,586,596.95,580.4,25.76M,1.55%
03-11-2022,584.9,569,587.95,568,17.56M,1.93%
02-11-2022,573.85,575.9,578.95,569.9,10.24M,-0.53%
01-11-2022,576.9,576.35,585.75,574.6,12.07M,0.54%
31-10-2022,573.8,574.95,577.45,568.4,9.89M,0.53%
28-10-2022,570.75,579.95,582.65,567,10.04M,-1.54%
27-10-2022,579.65,583.95,585,577.6,13.61M,0.19%
25-10-2022,578.55,572.5,586.2,568,19.90M,1.41%
24-10-2022,570.5,567,572.5,565.9,3.69M,1.72%
21-10-2022,560.85,557.25,565.8,557.25,11.77M,0.98%
20-10-2022,555.4,552,556.8,545.3,11.23M,0.36%
19-10-2022,553.4,563,563.45,551.55,9.54M,-1.61%
18-10-2022,562.45,547.1,563.5,546.75,20.44M,3.46%
17-10-2022,543.65,526.4,544.7,524.2,13.49M,3.12%
14-10-2022,527.2,530.2,534.85,526,8.55M,1.10%
13-10-2022,521.45,533,533.8,520.2,12.97M,-2.31%
12-10-2022,533.8,530,535,526,8.52M,1.21%
11-10-2022,527.4,530.75,533.7,525.5,10.83M,-0.63%
10-10-2022,530.75,525.7,533.9,522.2,9.65M,0.10%
07-10-2022,530.2,535.5,535.6,526.55,11.07M,-1.32%
06-10-2022,537.3,534.6,541.8,534.6,9.51M,0.86%
04-10-2022,532.7,533,535.8,527.8,8.75M,2.49%
03-10-2022,519.75,527.6,531.65,518.5,9.35M,-2.04%
30-09-2022,530.6,524,536.9,516.15,17.47M,1.70%
29-09-2022,521.75,529,535.7,519.55,17.31M,-0.59%
28-09-2022,524.85,532.9,539.8,520.35,12.23M,-2.17%
27-09-2022,536.5,544.55,550.9,533.2,11.07M,-1.25%
26-09-2022,543.3,545.8,549,533,16.16M,-1.33%
23-09-2022,550.6,564.8,568,549.5,12.56M,-2.94%
22-09-2022,567.3,566.75,574,562,11.87M,-0.42%
21-09-2022,569.7,575,577.3,565.4,9.39M,-0.76%
20-09-2022,574.05,577.95,577.95,572.85,8.48M,0.31%
19-09-2022,572.25,560.7,574.4,559.55,11.19M,1.86%
16-09-2022,561.8,569.1,574,560.3,14.74M,-1.81%
15-09-2022,572.15,572.55,578.5,567.9,12.75M,0.07%
14-09-2022,571.75,550,574.85,549.25,21.63M,2.46%
13-09-2022,558,560,560,553.75,16.71M,0.56%
